ZONA_EOD;Habitacional;Comercio_y_oficina;Industria_y_bodega;Salud_Educaci¢n_Deporte;Transporte_y_estacionamientos;Otros;Total_sup;Calidad-Superior;Calidad-Media;Calidad-inferior;Promedio_edad_construcciones
1;37250;63417;15145;9149;7237;17107;149305;44793;62180;42309;66
2;59035;16709;2648;74787;2098;7840;163117;32095;109183;21839;56
3;59330;311805;45109;49492;57714;45470;568920;159306;299961;109527;41
4;44693;74347;19400;16842;8118;12748;176148;26812;99882;49454;56
5;144344;77277;23866;6804;35432;27461;315184;63463;143422;108108;27
6;47958;10915;5779;18568;1781;12484;97485;11773;52962;32750;54
7;151195;9621;4058;9395;6666;9510;190445;42461;78656;69156;31
8;75272;2418;829;5785;332;2719;87355;1447;25347;60561;45
9;146097;3324;2886;702;1363;6187;160559;446;100658;53455;30
10;132995;26577;16140;14314;14357;24737;229120;63747;76529;88568;46
11;166463;22064;6262;78294;11053;35343;319479;76783;195586;46892;42
12;280494;8924;14580;15659;3346;6877;329880;13421;156357;159664;26
13;32561;29465;3108;38145;10888;5135;119302;27690;50104;41508;37
14;131535;5805;7691;8552;848;4921;159352;4125;14875;140352;28
15;71149;3634;3798;6295;126;4150;89152;1402;10225;77525;34
16;108403;8535;3005;2021;4884;7092;133940;12286;29018;92636;37
17;93919;28164;22252;10073;1513;21361;177282;40192;52412;84226;50
18;68205;10718;14989;3326;370;2592;100200;9939;18375;71886;32
19;75805;2726;4648;5812;156;2360;91507;2217;11773;77517;40
20;57459;2833;5515;7107;581;2927;76422;3265;13497;59660;43
21;45496;1759;5507;3828;199;3255;60044;2973;7389;49682;40
22;29359;887;373;1993;54;601;33267;270;950;32047;37
23;54479;1040;561;1953;139;1141;59313;256;628;58429;29
24;120316;30701;54099;12531;1977;19687;239311;38277;93800;106972;63
25;35784;5378;18216;5872;442;6974;72666;15489;39288;17889;29
26;52748;2634;2954;11907;374;5576;76193;6240;20221;49732;43
27;150817;1774;1269;3228;720;1699;159507;827;86841;71839;27
28;29718;32236;10103;35466;2492;21288;131303;35463;74157;20898;52
29;37368;6376;9688;3595;1141;3572;61740;8420;12579;40680;54
30;21050;8289;7266;1836;167;4690;43298;7265;15800;20233;42
31;16720;14287;4958;1156;1952;20829;59902;32070;18164;9242;50
32;10892;128;0;0;0;320;11340;320;11020;0;13
33;72664;2615;921;5893;219;4271;86583;917;5485;77681;27
34;53356;2240;840;4489;307;1964;63196;532;6917;55731;36
35;57576;173;20;2498;18;391;60676;0;943;59733;20
36;40724;24880;11716;5747;1055;27931;112053;50374;22497;38982;35
37;93846;3927;3044;7103;242;3415;111577;2500;8372;100705;25
38;63605;2546;1704;7590;437;3097;78979;2454;22448;54077;38
39;195910;18058;3034;37804;12621;10528;277955;48563;144013;85259;39
40;190571;125787;6997;7406;76089;22350;429200;168122;130114;130568;34
41;176364;333;1446;15881;2317;1154;197495;36795;155668;5032;16
42;206209;2407;13395;2021;1629;1058;226719;2384;127425;96676;20
43;40803;4138;22331;0;466;9139;76877;25863;30213;20801;29
44;51428;1418;1071;1302;195;1112;56526;174;2244;54108;28
45;32994;7114;6238;20296;533;5687;72862;4787;31075;37000;39
46;107350;7686;5847;6695;1087;2847;131512;7065;6017;118399;26
47;37752;19881;62531;10158;2068;9057;141447;61861;69998;5704;55
48;109275;3307;1425;9327;32;1968;125334;2126;12111;111097;20
49;29392;228;345;148;0;14343;44456;288;1651;30117;16
50;100130;285;265;5840;3317;1902;111739;32001;77571;2005;13
51;24001;0;310;0;992;628;25931;18574;6470;743;44
52;138132;2508;14201;2345;324;5100;162610;6139;28352;128119;13
53;312;3436;18696;0;201;2265;24910;12114;11684;1112;20
54;9050;11900;72873;2675;3068;15839;115405;69444;35848;9808;52
55;61294;35809;6695;8751;7338;10014;129901;25912;74315;29377;46
56;60034;4608;390;4947;1381;3888;75248;12966;21955;40105;34
57;73641;8148;194;7461;5766;8424;103634;21414;76257;5963;17
58;80054;353;26;0;1849;560;82842;10954;70298;1590;13
59;18158;723;610;5774;110;1559;26934;2120;16235;8579;32
60;24821;0;42;116;425;111;25515;0;24422;1093;23
61;37736;4038;2096;20021;3159;28242;95292;19291;53836;12486;55
62;73723;1996;1218;3884;300;4393;85514;1209;7815;76476;26
63;38104;1071;438;2389;125;757;42884;287;823;41774;41
64;123987;1326;12651;894;901;49941;189700;2485;14006;125085;18
65;74508;6855;21419;2257;992;9990;116021;15954;28615;71452;48
66;63570;1559;1031;0;169;2600;68929;1958;1126;65639;25
67;29371;3922;29775;7364;204;38887;109523;50161;26910;32045;24
68;43557;2297;2074;1266;425;4908;54527;2227;8878;43422;35
69;53687;3824;6464;6840;463;5357;76635;5407;8518;62710;38
70;72175;635;162;908;0;754;74634;0;13386;61248;#¡VALOR!
71;77841;1030;278;781;148;1553;81631;298;4389;76944;24
72;31429;1136;656;1907;213;571;35912;2237;1267;32408;30
73;30510;812;0;150;0;1056;32528;0;954;31574;14
74;29665;401;140;0;0;1733;31939;203;1161;30575;14
75;235989;5329;1928;17758;518;2026;263548;4498;51112;207938;14
76;;;;;;;;0;0;0;#¡VALOR!
77;46641;3136;3286;75;103;1268;54509;510;5769;48230;#¡VALOR!
78;24920;3793;5512;6298;351;9649;50523;13905;14835;21342;35
79;114831;1485;278;10113;412;1521;128640;1491;11029;116104;16
80;23523;910;1193;1969;58;980;28633;963;4172;23498;16
81;108348;396;123;3674;366;323;113230;20;4955;108255;14
82;59583;2056;433;8367;0;803;71242;0;11237;60005;11
83;30247;35;0;0;0;0;30282;0;8175;22107;16
84;48140;2926;6222;307;850;877;59322;6210;7422;45690;11
85;44879;415;650;59;957;520;47480;2079;33294;12095;38
86;2050;0;0;0;77;396;2523;1250;1273;0;16
87;5938;3363;3711;1078;593;3738;18421;6044;7503;4874;62
88;5615;18537;7517;7252;281;5768;44970;9505;22383;13082;34
89;12674;824;1048;217;0;75;14838;778;3712;10348;16
90;15264;13;96;0;0;0;15373;0;0;15373;#¡VALOR!
