;alto_viejo;alto_joven;bajo_viejo;bajo_joven
1;0;5;27;95
2;67;31;86;23
3;2;2;6;1
4;88;46;89;72
5;2;100;212;103
6;0;20;91;65
7;0;19;6;147
8;116;92;94;71
9;0;37;39;196
10;0;22;78;214
11;0;28;20;185
12;0;13;9;275
13;0;5;3;129
14;0;23;37;276
15;0;12;47;218
16;0;3;6;211
17;0;0;1;143
18;0;4;13;163
19;0;9;46;155
20;3;68;134;107
21;47;93;161;98
22;0;0;0;2
23;0;18;126;234
24;0;19;64;217
25;0;2;0;0
26;2;71;111;101
27;0;16;81;280
28;0;2;9;145
29;25;18;27;27
30;50;52;102;51
31;0;2;2;125
32;0;2;3;158
33;2;121;168;158
34;95;97;122;123
35;38;136;212;172
36;0;7;22;154
37;15;146;167;178
38;99;205;138;144
39;0;25;20;251
40;0;33;44;232
41;0;20;8;160
42;0;37;16;229
43;0;1;1;106
44;48;55;57;48
45;0;5;19;101
46;52;188;177;246
47;0;88;1;22
48;4;250;205;278
49;0;3;0;81
50;0;8;1;136
51;0;9;2;78
52;0;12;10;239
53;0;0;0;17
54;0;6;2;75
55;4;64;99;56
56;67;149;86;76
57;0;21;6;155
58;0;8;3;95
59;0;11;10;94
60;1;1;0;0
61;0;1;1;0
62;0;19;86;202
63;0;19;61;181
64;0;39;47;123
65;0;101;99;125
66;0;1;2;171
67;0;2;1;78
68;54;86;79;101
69;0;3;2;170
70;0;7;3;187
71;71;86;106;89
72;0;14;19;104
73;0;3;9;159
74;0;3;0;110
75;0;40;19;112
76;0;124;87;98
77;0;8;3;61
78;0;2;4;105
79;0;11;6;121
80;0;2;3;103
81;0;18;11;169
82;0;6;2;105
83;4;153;102;90
84;0;5;2;53
85;44;53;61;50
86;0;1;0;70
87;0;1;1;98
88;0;11;4;121
89;0;39;54;253
90;0;2;0;0
