;res_sup;res_inf
1;14;113
2;47;402
3;26;662
4;16;275
5;61;341
6;38;135
7;46;90
8;105;270
9;63;155
10;57;236
11;62;131
12;69;182
13;36;95
14;80;197
15;78;171
16;42;166
17;39;102
18;48;126
19;53;147
20;69;224
21;93;293
22;81;329
23;97;245
24;66;215
25;154;359
26;45;227
27;86;242
28;30;125
29;64;224
30;63;195
31;39;85
32;59;85
33;109;242
34;112;358
35;139;303
36;50;124
37;115;281
38;118;225
39;58;165
40;76;176
41;51;66
42;57;122
43;33;69
44;102;262
45;40;75
46;145;294
47;39;45
48;102;240
49;29;40
50;51;66
51;27;29
52;72;128
53;1;4
54;30;48
55;42;177
56;68;191
57;54;66
58;36;54
59;33;76
60;75;154
61;79;267
62;86;200
63;66;178
64;58;119
65;76;226
66;53;93
67;22;53
68;95;199
69;57;100
70;59;99
71;118;243
72;43;77
73;54;102
74;37;54
75;48;70
76;108;173
77;25;43
78;35;61
79;40;60
80;34;52
81;51;75
82;35;52
83;104;156
84;22;33
85;65;125
86;24;38
87;34;57
88;45;71
89;119;184
90;32;302
